時間,設備,數值
2024-10-19 10:01:20,SA-29/LED_LEVE,7
2024-10-19 10:23:29,SA-28/LED_LEVEL,3
2024-10-19 10:23:32,SA-28/LED_LEVEL,6
2024-10-19 10:23:33,SA-28/LED_LEVEL,8
2024-10-19 10:23:33,SA-28/LED_LEVEL,9
2024-10-19 10:24:37,SA-28/LED_LEVEL,10
2024-10-19 10:24:38,SA-28/LED_LEVEL,8
2024-10-19 10:24:39,SA-28/LED_LEVEL,4
2024-10-19 10:24:40,SA-28/LED_LEVEL,3
2024-10-19 10:31:16,SA-28/LED_LEVEL,4
2024-10-19 10:31:17,SA-28/LED_LEVEL,6
2024-10-19 10:31:17,SA-28/LED_LEVEL,4
2024-10-19 10:31:18,SA-28/LED_LEVEL,3
2024-10-19 10:31:19,SA-28/LED_LEVEL,1
2024-10-19 10:31:21,SA-28/LED_LEVEL,2
2024-10-19 10:41:49,SA-28/LED_LEVEL,4
2024-10-19 10:41:50,SA-28/LED_LEVEL,6
2024-10-19 10:41:50,SA-28/LED_LEVEL,3
2024-10-19 10:41:51,SA-28/LED_LEVEL,2
2024-10-19 10:41:51,SA-28/LED_LEVEL,0
2024-10-19 10:42:05,SA-28/LED_LEVEL,2
2024-10-19 10:42:05,SA-28/LED_LEVEL,4
2024-10-19 10:42:07,SA-28/LED_LEVEL,2
2024-10-19 10:42:12,SA-28/LED_LEVEL,0
2024-10-19 10:42:14,SA-28/LED_LEVEL,2
2024-10-19 10:42:15,SA-28/LED_LEVEL,4
2024-10-19 10:42:35,SA-28/LED_LEVEL,6
2024-10-19 10:42:35,SA-28/LED_LEVEL,7
2024-10-19 10:42:37,SA-28/LED_LEVEL,6
2024-10-19 10:43:31,SA-28/LED_LEVEL,7
2024-10-19 10:43:31,SA-28/LED_LEVEL,9
2024-10-19 10:43:32,SA-28/LED_LEVEL,10
2024-10-19 10:43:33,SA-28/LED_LEVEL,7
2024-10-19 10:43:33,SA-28/LED_LEVEL,6
2024-10-19 10:43:34,SA-28/LED_LEVEL,4
2024-10-19 10:43:35,SA-28/LED_LEVEL,2
2024-10-19 10:43:36,SA-28/LED_LEVEL,1
2024-10-19 10:43:36,SA-28/LED_LEVEL,0
2024-10-19 10:43:36,SA-28/LED_LEVEL,1
2024-10-19 10:43:37,SA-28/LED_LEVEL,2
2024-10-19 10:43:39,SA-28/LED_LEVEL,3
2024-10-19 10:43:40,SA-28/LED_LEVEL,4
2024-10-19 10:45:25,SA-28/LED_LEVEL,1
2024-10-19 10:45:25,SA-28/LED_LEVEL,0
2024-10-19 10:45:26,SA-28/LED_LEVEL,4
2024-10-19 10:45:27,SA-28/LED_LEVEL,6
2024-10-19 10:45:27,SA-28/LED_LEVEL,8
2024-10-19 10:45:29,SA-28/LED_LEVEL,9
2024-10-19 10:48:26,SA-28/LED_LEVEL,10
2024-10-19 10:48:27,SA-28/LED_LEVEL,8
2024-10-19 10:48:27,SA-28/LED_LEVEL,5
2024-10-19 10:48:28,SA-28/LED_LEVEL,4
2024-10-19 10:48:29,SA-28/LED_LEVEL,2
2024-10-19 10:48:30,SA-28/LED_LEVEL,4
2024-10-19 10:48:31,SA-28/LED_LEVEL,5
2024-10-19 10:48:31,SA-28/LED_LEVEL,6
